L_ID,year,month,Source_main,Source_Sub
ABC0013383,2021,12,NULL,235930.995
ABC0013383,2022,1,181513.125,192205.845
ABC0013383,2022,2,205176.78,216702.81
ABC0013383,2022,3,253768.74,271001.28
ABC0013383,2022,4,242583.435,253431.06
ABC0013383,2022,5,NULL,252777.315
ABC0013383,2022,6,NULL,254214.375
ABC0013383,2022,7,NULL,206359.29
ABC0013435,2021,5,146946,155239.53
ABC0013435,2021,6,269553,287126.67
ABC0013435,2021,7,234011.475,252944.685
ABC0013435,2021,8,280911.255,294956.97
ABC0013435,2021,9,347767.53,365152.62
ABC0013435,2021,10,331531.5,352603.905
ABC0013435,2021,11,318093,336162.285
ABC0013435,2021,12,365253,385753.89
ABC0013435,2022,1,343824,359946.855
ABC0013435,2022,2,725277.45,380783.49
ABC0013435,2022,3,385078.5,410804.4
ABC0013435,2022,4,421319.31,448009.155
ABC0013435,2022,5,369820.455,388311.36
ABC0013435,2022,6,NULL,402931.695
ABC0013435,2022,7,NULL,221644.29
ABC0013443,2021,2,27529.92,28024.185
ABC0013443,2021,3,122940.78,129088.215
ABC0013443,2021,4,129868.755,136211.01
ABC0013443,2021,5,142359.645,148720.335
ABC0013443,2021,6,155686.38,162529.77
ABC0013443,2021,7,158644.5,165803.085
ABC0013443,2021,8,158969.265,162023.025
ABC0013443,2021,9,150717.315,157972.575
ABC0013443,2021,10,160850.55,167318.055
ABC0013443,2021,11,135006.33,140909.055
ABC0013443,2021,12,171593.19,176774.07
ABC0013443,2022,1,174519.045,181303.2
ABC0013443,2022,2,162912.99,170402.625
ABC0013443,2022,3,NULL,209130.54
ABC0013443,2022,4,NULL,157954.425
ABC0013443,2022,5,NULL,162429.21
ABC0013443,2022,6,0,133493.16
ABC0013443,2022,7,NULL,84281.625
ABC0013455,2021,2,0,302786.85
ABC0013455,2021,3,0,416115.75
ABC0013455,2021,4,365753.955,410013.975
ABC0013455,2021,5,637282.44,697571.325
ABC0013455,2021,6,772628.49,828499.8
ABC0013455,2021,7,359672.4,416421.675
ABC0013455,2021,8,510827.265,606008.4
ABC0013455,2021,9,752885.16,894485.4
ABC0013455,2021,10,994604.76,1193692.65
ABC0013455,2021,11,1114805.025,1354536.15
ABC0013455,2021,12,1236981.42,1472812.65
ABC0013455,2022,1,1559427.21,1854437.7
ABC0013455,2022,2,861261.525,1036765.95
ABC0013455,2022,3,826637.43,1001065.575
ABC0013455,2022,4,460164.915,460164.915
ABC0013455,2022,5,449646.9,449646.9
ABC0013455,2022,6,395690.94,476283.9
ABC0013455,2022,7,NULL,300782.85
ABC0013473,2021,5,471105.6,NULL
ABC0013473,2021,6,564187.905,NULL
ABC0013473,2021,7,617899.005,NULL
ABC0013473,2021,8,560611.92,NULL
ABC0013473,2021,9,667886.475,NULL
ABC0013473,2021,10,874252.59,NULL
ABC0013473,2021,11,843730.29,NULL
ABC0013473,2021,12,948225.705,NULL
ABC0013473,2022,1,0,NULL
ABC0013473,2022,2,774572.085,NULL
ABC0013473,2022,3,892364.295,NULL
ABC0013473,2022,4,539083.92,NULL
ABC0013473,2022,5,720564.945,NULL
ABC0013473,2022,6,0,NULL
ABC0013473,2022,7,0,NULL
ABC0013474,2021,1,NULL,NULL
ABC0013474,2021,2,0,NULL
ABC0013474,2021,3,NULL,NULL
ABC0013474,2021,4,NULL,NULL
ABC0013474,2021,5,NULL,NULL
ABC0013474,2021,6,NULL,NULL
ABC0013474,2021,7,NULL,NULL
ABC0013474,2021,8,NULL,NULL
ABC0013474,2021,9,NULL,NULL
ABC0013474,2021,10,NULL,NULL
ABC0013474,2021,11,NULL,NULL
ABC0013474,2021,12,NULL,NULL
ABC0013474,2022,1,NULL,NULL
ABC0013474,2022,2,NULL,NULL
ABC0013474,2022,3,NULL,NULL
ABC0013474,2022,4,NULL,NULL
ABC0013474,2022,5,NULL,NULL
ABC0013474,2022,6,NULL,NULL
ABC0013474,2022,7,NULL,NULL
ABC0013514,2021,3,NULL,3442.95
ABC0013514,2021,4,101422.59,106537.98
ABC0013514,2021,5,166536.825,174373.95
ABC0013514,2021,6,257193.165,269204.385
ABC0013514,2021,7,277641.105,293128.275
ABC0013514,2021,8,272478.81,286544.655
ABC0013514,2021,9,216977.85,227726.355
ABC0013514,2021,10,298347.93,312383.46
ABC0013514,2021,11,234733.095,245253.225
ABC0013514,2021,12,234168.855,244231.32
ABC0013514,2022,1,255197.55,272037
ABC0013514,2022,2,234010.485,244127.385
ABC0013514,2022,3,550136.85,288050.1
ABC0013514,2022,4,341384.145,358222.35
ABC0013514,2022,5,316873.83,332562.78
ABC0013514,2022,6,0,278750.1
ABC0013514,2022,7,0,211148.745
ABC0013522,2021,3,NULL,NULL
ABC0013522,2021,4,NULL,NULL
ABC0013522,2021,5,NULL,NULL
ABC0013522,2021,6,NULL,NULL
ABC0013522,2021,7,NULL,NULL
ABC0013522,2021,8,NULL,NULL
ABC0013522,2021,9,NULL,NULL
ABC0013522,2021,10,NULL,NULL
ABC0013522,2021,11,NULL,NULL
ABC0013522,2021,12,NULL,NULL
ABC0013522,2022,1,NULL,NULL
ABC0013522,2022,2,NULL,NULL
ABC0013522,2022,3,NULL,NULL
ABC0013522,2022,4,NULL,NULL
ABC0013522,2022,5,NULL,NULL
ABC0013522,2022,6,NULL,NULL
ABC0013522,2022,7,NULL,NULL
ABC0013528,2021,12,NULL,0
ABC0013528,2022,1,NULL,58038
ABC0013528,2022,2,NULL,80967
ABC0013528,2022,3,NULL,221128.5
ABC0013528,2022,4,NULL,44241.36
ABC0013528,2022,5,NULL,78200.94
ABC0013528,2022,6,NULL,45345.9
ABC0013528,2022,7,NULL,40641.3
ABC0013552,2021,2,369831,388549.77
ABC0013552,2021,3,427374,449214.585
ABC0013552,2021,4,442125,464612.055
ABC0013552,2021,5,415861.5,438405.66
ABC0013552,2021,6,342306,360792.585
ABC0013552,2021,7,373807.5,392250.915
ABC0013552,2021,8,397849.5,426462.72
ABC0013552,2021,9,458346,482927.265
ABC0013552,2021,10,551780.715,579143.28
ABC0013552,2021,11,571728.375,600324.93
ABC0013552,2021,12,616476,648055.125
ABC0013552,2022,1,513258,539292.06
ABC0013552,2022,2,443010,467225.76
ABC0013552,2022,3,449413.5,472873.215
ABC0013552,2022,4,506271,534024.825
ABC0013552,2022,5,457203,480792.21
ABC0013552,2022,6,393907.5,413493.495
ABC0013552,2022,7,NULL,276646.14
ABC0013554,2021,3,548316.435,461005.8
ABC0013554,2021,4,416290.005,461493.9
ABC0013554,2021,5,458839.29,511575.15
ABC0013554,2021,6,322289.64,343582.875
ABC0013554,2021,7,242290.89,258743.175
ABC0013554,2021,8,228281.28,269595.465
ABC0013554,2021,9,309631.2,371953.305
ABC0013554,2021,10,735328.35,860869.095
ABC0013554,2021,11,958618.485,1124285.325
ABC0013554,2021,12,1224966.84,1436786.115
ABC0013554,2022,1,1075670.985,1254192.495
ABC0013554,2022,2,1000143.57,1172550.03
ABC0013554,2022,3,1145174.955,1343526.375
ABC0013554,2022,4,543454.86,643744.5
ABC0013554,2022,5,631330.65,758627.775
ABC0013554,2022,6,298675.65,353040.585
ABC0013554,2022,7,313609.425,173740.65
ABC0013580,2021,1,NULL,33365.28
ABC0013580,2021,2,NULL,83230.485
ABC0013580,2021,3,NULL,98027.205
ABC0013580,2021,4,NULL,77289.615
ABC0013580,2021,5,NULL,83004.45
ABC0013580,2021,6,91658.895,94461.6
ABC0013580,2021,7,NULL,93458.64
ABC0013580,2021,8,91428.48,95917.575
ABC0013580,2021,9,NULL,102928.005
ABC0013580,2021,10,NULL,105789.45
ABC0013580,2021,11,105084.345,109239.885
ABC0013580,2021,12,NULL,107772.165
ABC0013580,2022,1,NULL,96963.21
ABC0013580,2022,2,NULL,71425.14
ABC0013580,2022,3,NULL,109007.43
ABC0013580,2022,4,NULL,66193.515
ABC0013580,2022,5,NULL,90328.275
ABC0013580,2022,6,NULL,78961.935
ABC0013580,2022,7,NULL,51033.78
ABC0013594,2021,1,NULL,NULL
ABC0013594,2021,2,NULL,NULL
ABC0013594,2021,3,NULL,NULL
ABC0013594,2021,4,NULL,NULL
ABC0013594,2021,5,NULL,NULL
ABC0013594,2021,6,NULL,NULL
ABC0013594,2021,7,NULL,NULL
ABC0013594,2021,8,NULL,NULL
ABC0013594,2021,9,NULL,NULL
ABC0013594,2021,10,NULL,NULL
ABC0013594,2021,11,NULL,NULL
ABC0013594,2021,12,NULL,NULL
ABC0013594,2022,1,NULL,NULL
ABC0013594,2022,2,NULL,NULL
ABC0013594,2022,3,NULL,NULL
ABC0013594,2022,4,NULL,NULL
ABC0013594,2022,5,NULL,NULL
ABC0013594,2022,6,NULL,NULL
ABC0013594,2022,7,NULL,NULL
ABC0013633,2021,1,166314.36,174630
ABC0013633,2021,2,285599.85,299880
ABC0013633,2021,3,441764.16,463852.5
ABC0013633,2021,4,559022.76,586974
ABC0013633,2021,5,445437.06,469284
ABC0013633,2021,6,408094.83,428497.5
ABC0013633,2021,7,NULL,596752.5
ABC0013633,2021,8,NULL,528900
ABC0013633,2021,9,530892.75,554137.5
ABC0013633,2021,10,629214,660675
ABC0013633,2021,11,NULL,749872.5
